start,end,duration
1号线莘庄,1号线外环路,120
1号线外环路,1号线莲花路,120
1号线莲花路,1号线锦江乐园,180
1号线上海南站,1号线漕宝路,120
1号线漕宝路,1号线上海体育馆,180
1号线上海体育馆,1号线徐家汇,120
1号线徐家汇,1号线衡山路,120
1号线衡山路,1号线常熟路,120
1号线常熟路,1号线陕西南路,120
1号线陕西南路,1号线黄陂南路,180
1号线黄陂南路,1号线人民广场,180
1号线人民广场,1号线新闸路,60
1号线新闸路,1号线汉中路,120
1号线汉中路,1号线上海火车站,180
1号线上海火车站,1号线中山北路,120
1号线中山北路,1号线延长路,180
1号线延长路,1号线上海马戏城,120
1号线上海马戏城,1号线汶水路,120
1号线汶水路,1号线彭浦新村,180
1号线彭浦新村,1号线共康路,180
1号线共康路,1号线通河新村,120
1号线通河新村,1号线呼兰路,180
1号线呼兰路,1号线共富新村,120
1号线共富新村,1号线宝安公路,180
1号线宝安公路,1号线友谊西路,120
1号线友谊西路,1号线富锦路,120
1号线莘庄,1号线外环路,120
1号线外环路,1号线莲花路,120
1号线莲花路,1号线锦江乐园,180
1号线上海南站,1号线漕宝路,120
1号线漕宝路,1号线上海体育馆,180
1号线上海体育馆,1号线徐家汇,120
1号线徐家汇,1号线衡山路,120
1号线衡山路,1号线常熟路,120
1号线常熟路,1号线陕西南路,120
1号线陕西南路,1号线黄陂南路,180
1号线黄陂南路,1号线人民广场,180
1号线人民广场,1号线新闸路,60
1号线新闸路,1号线汉中路,120
1号线汉中路,1号线上海火车站,120
2号线徐泾东,2号线虹桥火车站,120
2号线虹桥火车站,2号线虹桥2号航站楼,120
2号线虹桥2号航站楼,2号线淞虹路,420
2号线淞虹路,2号线北新泾,180
2号线北新泾,2号线威宁路,120
2号线威宁路,2号线娄山关路,180
2号线娄山关路,2号线中山公园,180
2号线中山公园,2号线江苏路,180
2号线江苏路,2号线静安寺,180
2号线静安寺,2号线南京西路,120
2号线南京西路,2号线人民广场,120
2号线人民广场,2号线南京东路,180
2号线南京东路,2号线陆家嘴,180
2号线陆家嘴,2号线东昌路,120
2号线东昌路,2号线世纪大道,120
2号线世纪大道,2号线上海科技馆,180
2号线上海科技馆,2号线世纪公园,180
2号线世纪公园,2号线龙阳路,60
2号线张江高科,2号线金科路,120
2号线金科路,2号线广兰路,180
2号线唐镇,2号线创新中路,180
2号线创新中路,2号线华夏东路,180
2号线华夏东路,2号线川沙,300
